cost_function,budget_percentage,budget,algorithm,seed_count,seed_cost,influenced_nodes,cascade_activated,influence_percentage,rounds,execution_time_seconds
Random,1.0,220,CSG-f1,146,220,293,147,7.254270859123546,2,1.8497070000157692
Random,1.0,220,CSG-f2,140,219,224,84,5.545927209705372,2,2.276561600039713
Random,1.0,220,CGG,120,220,588,468,14.558058925476603,13,3.7962954999529757
Random,2.0,440,CSG-f1,252,440,409,157,10.126268878435257,3,3.0594339999952354
Random,2.0,440,CSG-f2,244,438,366,122,9.061648923000742,2,3.7964950000168756
Random,2.0,440,CGG,285,440,882,597,21.837088388214905,13,8.616700600017793
Random,5.0,1100,CSG-f1,487,1099,1354,867,33.52314929437979,14,5.19468890002463
Random,5.0,1100,CSG-f2,533,1099,1553,1020,38.450111413716265,27,7.401432200043928
Random,5.0,1100,CGG,619,1099,2519,1900,62.366922505570685,55,17.506764899997506
Random,10.0,2201,CSG-f1,869,2196,2883,2014,71.37905422134192,14,8.646970000001602
Random,10.0,2201,CSG-f2,979,2201,3095,2116,76.62787818767022,18,12.633902000030503
Random,10.0,2201,CGG,926,2011,4039,3113,100.0,48,21.131456799979787
Random,20.0,4402,CSG-f1,1495,4399,4012,2517,99.33151770240158,6,13.523978199984413
Random,20.0,4402,CSG-f2,1620,4399,3963,2343,98.11834612527853,5,17.77453150000656
Random,20.0,4402,CGG,926,2011,4039,3113,100.0,48,21.00884289998794
Degree,1.0,892,CSG-f1,117,888,158,41,3.911859371131468,6,1.483324300032109
Degree,1.0,892,CSG-f2,209,888,211,2,5.224065362713543,1,3.396895100013353
Degree,1.0,892,CGG,442,891,555,113,13.74102500618965,14,13.975081900018267
Degree,2.0,1784,CSG-f1,177,1766,368,191,9.111166130230256,6,2.2447994999820367
Degree,2.0,1784,CSG-f2,261,1781,264,3,6.536271354295618,1,4.251152300043032
Degree,2.0,1784,CGG,668,1783,899,231,22.25798464966576,14,21.24251509999158
Degree,5.0,4462,CSG-f1,287,4462,480,193,11.884129735082942,6,3.5668820000137202
Degree,5.0,4462,CSG-f2,408,4426,412,4,10.200544689279525,2,6.570333599986043
Degree,5.0,4462,CGG,1100,4456,1411,311,34.9343897004209,14,34.11795300000813
Degree,10.0,8924,CSG-f1,448,8910,650,202,16.093092349591483,6,5.407733800006099
Degree,10.0,8924,CSG-f2,613,8915,617,4,15.276058430304532,2,9.645248200045899
Degree,10.0,8924,CGG,1539,8919,2405,866,59.544441693488494,30,45.97793459997047
Degree,20.0,17848,CSG-f1,849,17836,1853,1004,45.877692498143105,7,9.802298299968243
Degree,20.0,17848,CSG-f2,1075,17802,1081,6,26.764050507551374,2,15.715398900036234
Degree,20.0,17848,CGG,1982,17817,3467,1485,85.83807873235949,38,56.42027780000353
