cost_function,budget_percentage,algorithm,edge_removal_percentage,mean_influenced_nodes,std_influenced_nodes,baseline_influenced_nodes
Degree,1.0,CGG,1.0,554.3,0.8645047258706176,555
Degree,1.0,CGG,5.0,544.7,12.096541480500674,555
Degree,1.0,CGG,10.0,538.4,14.525476711082849,555
Degree,1.0,CGG,20.0,527.95,13.869599470557331,555
Degree,1.0,CSG-f1,1.0,158.6,6.22727447350934,158
Degree,1.0,CSG-f1,5.0,164.65,7.050755838542194,158
Degree,1.0,CSG-f1,10.0,172.35,8.922325634992369,158
Degree,1.0,CSG-f1,20.0,189.25,9.808025714742623,158
Degree,1.0,CSG-f2,1.0,211.35,0.48936048492959344,211
Degree,1.0,CSG-f2,5.0,213.7,1.657518754359248,211
Degree,1.0,CSG-f2,10.0,216.8,2.1175954586076653,211
Degree,1.0,CSG-f2,20.0,224.0,3.583588322220882,211
Degree,2.0,CGG,1.0,891.55,7.74239864913356,899
Degree,2.0,CGG,5.0,864.75,15.48471232504738,899
Degree,2.0,CGG,10.0,854.0,17.594855707519212,899
Degree,2.0,CGG,20.0,840.75,17.899941193669925,899
Degree,2.0,CSG-f1,1.0,368.8,1.4363696929192336,368
Degree,2.0,CSG-f1,5.0,374.55,3.9132030224276404,368
Degree,2.0,CSG-f1,10.0,380.25,3.945350361334748,368
Degree,2.0,CSG-f1,20.0,391.45,4.784569496115393,368
Degree,2.0,CSG-f2,1.0,264.5,0.5129891760425732,264
Degree,2.0,CSG-f2,5.0,267.45,1.8771478925556944,264
Degree,2.0,CSG-f2,10.0,270.5,1.8778487131485306,264
Degree,2.0,CSG-f2,20.0,277.75,4.10231000393937,264
Degree,5.0,CGG,1.0,1406.45,6.270020565734779,1411
Degree,5.0,CGG,5.0,1387.2,15.429295443886511,1411
Degree,5.0,CGG,10.0,1375.35,14.84755872189097,1411
Degree,5.0,CGG,20.0,1359.0,16.415653633362478,1411
Degree,5.0,CSG-f1,1.0,481.0,1.5559732104310136,480
Degree,5.0,CSG-f1,5.0,488.55,5.576973334968288,480
Degree,5.0,CSG-f1,10.0,496.0,5.776540578290051,480
Degree,5.0,CSG-f1,20.0,509.95,7.437281619969541,480
Degree,5.0,CSG-f2,1.0,412.3,0.5712405705774778,412
Degree,5.0,CSG-f2,5.0,413.85,1.2680278927697628,412
Degree,5.0,CSG-f2,10.0,416.5,1.9867985355975522,412
Degree,5.0,CSG-f2,20.0,421.9,3.1102546857976745,412
Degree,10.0,CGG,1.0,2313.3,62.5620534055252,2405
Degree,10.0,CGG,5.0,2222.45,70.39697586208024,2405
Degree,10.0,CGG,10.0,2190.05,73.64743537179082,2405
Degree,10.0,CGG,20.0,2176.95,66.70159392082732,2405
Degree,10.0,CSG-f1,1.0,651.9,2.074912807299296,650
Degree,10.0,CSG-f1,5.0,660.4,5.423147270339368,650
Degree,10.0,CSG-f1,10.0,668.4,5.557356433261738,650
Degree,10.0,CSG-f1,20.0,683.65,6.149668369321375,650
