cost_function, budget_percentage, budget, algorithm, seed_count, seed_cost, baseline_influenced_nodes, baseline_influence_percentage, edge_removal_percentage, repetition, removed_edges, perturbed_influenced_nodes, perturbed_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,               1.0,    220, CSG-f1   ,        146,       220,                       293,             7.254270859123546,                     1.0,          0,           882,                        305,             7.551374102500619 , 12             ,  104.09556313993174 ,                5
Random       ,               1.0,    220, CSG-f2   ,        140,       219,                       224,             5.545927209705372,                     1.0,          0,           882,                        228,             5.644961624164397 , 4              ,  101.78571428571428 ,                2
Random       ,               1.0,    220, CGG      ,        120,       220,                       588,            14.558058925476603,                     1.0,          0,           882,                        587,            14.533300321861848 , -1             ,   99.82993197278913 ,               11
Random       ,               2.0,    440, CSG-f1   ,        252,       440,                       409,            10.126268878435257,                     1.0,          0,           882,                        418,            10.349096310968061 , 9              ,  102.200488997555   ,                5
Random       ,               2.0,    440, CSG-f2   ,        244,       438,                       366,             9.061648923000742,                     1.0,          0,           882,                        377,             9.33399356276306  , 11             ,  103.00546448087431 ,                5
Random       ,               2.0,    440, CGG      ,        285,       440,                       882,            21.837088388214905,                     1.0,          0,           882,                        877,            21.713295370141125 , -5             ,   99.43310657596372 ,               10
Random       ,               5.0,   1100, CSG-f1   ,        487,      1099,                      1354,            33.52314929437979 ,                     1.0,          0,           882,                       1383,            34.24114879920773  , 29             ,  102.14180206794683 ,               17
Random       ,               5.0,   1100, CSG-f2   ,        533,      1099,                      1553,            38.450111413716265,                     1.0,          0,           882,                       1555,            38.49962862094578  , 2              ,  100.12878300064392 ,               23
Random       ,               5.0,   1100, CGG      ,        619,      1099,                      2519,            62.366922505570685,                     1.0,          0,           882,                       2226,            55.11265164644714  , -293           ,   88.36840015879316 ,               49
Random       ,              10.0,   2201, CSG-f1   ,        869,      2196,                      2883,            71.37905422134192 ,                     1.0,          0,           882,                       2958,            73.23594949244863  , 75             ,  102.60145681581685 ,               19
Random       ,              10.0,   2201, CSG-f2   ,        979,      2201,                      3095,            76.62787818767022 ,                     1.0,          0,           882,                       3095,            76.62787818767022  , 0              ,  100.0              ,               18
Random       ,              10.0,   2201, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          0,           882,                       3618,            89.57662787818768  , -421           ,   89.57662787818768 ,               40
