cost_function, budget_percentage, algorithm, node_removal_percentage, mean_influenced_nodes, std_influenced_nodes, mean_surviving_seed_count, std_surviving_seed_count, baseline_influenced_nodes
Degree       ,               1.0, CGG      ,                     1.0,                543.5 ,  12.967570888059258 ,                    437.7 ,       3.2622239750142694,                       555
Degree       ,               1.0, CGG      ,                     5.0,                515.1 ,  13.726271391597573 ,                    420.1 ,       3.6113855046447005,                       555
Degree       ,               1.0, CGG      ,                    10.0,                477.0 ,  15.068265712382004 ,                    397.0 ,       5.390049311365094 ,                       555
Degree       ,               1.0, CGG      ,                    20.0,                415.0 ,  17.579892820462454 ,                    352.1 ,       8.353379398089192 ,                       555
Degree       ,               1.0, CSG-f1   ,                     1.0,                157.0 ,   3.539253563885143 ,                    115.7 ,       1.080935267549162 ,                       158
Degree       ,               1.0, CSG-f1   ,                     5.0,                155.65,   9.404786015641186 ,                    111.05,       2.7620549177054854,                       158
Degree       ,               1.0, CSG-f1   ,                    10.0,                174.6 ,  56.80659709650113  ,                    105.05,       3.3635038122078655,                       158
Degree       ,               1.0, CSG-f1   ,                    20.0,                160.7 ,  44.16130718889081  ,                     93.15,       4.2087002619261025,                       158
Degree       ,               1.0, CSG-f2   ,                     1.0,                209.0 ,   1.9735087641318614,                    206.45,       1.7910596686995341,                       211
Degree       ,               1.0, CSG-f2   ,                     5.0,                203.8 ,   6.100905886143388 ,                    199.0 ,       3.2118202741878608,                       211
Degree       ,               1.0, CSG-f2   ,                    10.0,                197.95,   8.388431884070119 ,                    189.3 ,       3.6720853103265165,                       211
Degree       ,               1.0, CSG-f2   ,                    20.0,                178.55,   8.450942021611057 ,                    166.75,       5.398586559656638 ,                       211
Degree       ,               2.0, CGG      ,                     1.0,                875.2 ,  17.623548839101904 ,                    661.25,       3.492473109567588 ,                       899
Degree       ,               2.0, CGG      ,                     5.0,                817.15,  19.984928531797475 ,                    635.35,       5.402484808425011 ,                       899
Degree       ,               2.0, CGG      ,                    10.0,                751.85,  22.618750954392716 ,                    600.55,       7.229144231220555 ,                       899
Degree       ,               2.0, CGG      ,                    20.0,                653.75,  27.395495211708386 ,                    532.65,      11.324286895174037 ,                       899
Degree       ,               2.0, CSG-f1   ,                     1.0,                364.9 ,   1.8890264827766647,                    175.3 ,       1.3416407864998732,                       368
Degree       ,               2.0, CSG-f1   ,                     5.0,                353.7 ,   9.481838595857601 ,                    167.75,       3.041381265149114 ,                       368
Degree       ,               2.0, CSG-f1   ,                    10.0,                336.05,  12.692621146908445 ,                    158.7 ,       4.341961720115387 ,                       368
Degree       ,               2.0, CSG-f1   ,                    20.0,                307.35,  11.384546312297303 ,                    140.8 ,       6.0227638348623875,                       368
Degree       ,               2.0, CSG-f2   ,                     1.0,                261.6 ,   1.7290094517412373,                    258.1 ,       1.7441631985447603,                       264
Degree       ,               2.0, CSG-f2   ,                     5.0,                254.7 ,   5.292497172015255 ,                    248.65,       3.0135658193191115,                       264
Degree       ,               2.0, CSG-f2   ,                    10.0,                246.6 ,   8.792341164780566 ,                    236.15,       3.7314453246063097,                       264
Degree       ,               2.0, CSG-f2   ,                    20.0,                222.35,   8.561080846666375 ,                    208.85,       5.887319111088634 ,                       264
Degree       ,               5.0, CGG      ,                     1.0,               1387.85,  16.148244160703204 ,                   1089.4 ,       4.369752492087532 ,                      1411
Degree       ,               5.0, CGG      ,                     5.0,               1307.6 ,  19.86639585356459  ,                   1046.25,       7.2828204484396455,                      1411
Degree       ,               5.0, CGG      ,                    10.0,               1214.85,  29.120936581236904 ,                    990.4 ,       9.675797260772836 ,                      1411
Degree       ,               5.0, CGG      ,                    20.0,               1061.8 ,  26.40295039334968  ,                    878.0 ,      14.03379380000476  ,                      1411
Degree       ,               5.0, CSG-f1   ,                     1.0,                476.0 ,   2.2242680641174175,                    284.05,       1.7006190823220493,                       480
Degree       ,               5.0, CSG-f1   ,                     5.0,                460.55,   9.253591052581745 ,                    272.0 ,       4.812265031857877 ,                       480
Degree       ,               5.0, CSG-f1   ,                    10.0,                439.45,  13.188811047327393 ,                    257.85,       6.02865962234602  ,                       480
Degree       ,               5.0, CSG-f1   ,                    20.0,                399.55,  11.771844196619053 ,                    227.65,       8.981120549006649 ,                       480
Degree       ,               5.0, CSG-f2   ,                     1.0,                408.3 ,   2.696976865033577 ,                    403.9 ,       2.381949665825519 ,                       412
Degree       ,               5.0, CSG-f2   ,                     5.0,                394.85,   6.335156708899619 ,                    388.2 ,       3.8058127287500376,                       412
Degree       ,               5.0, CSG-f2   ,                    10.0,                376.25,   6.843167933670851 ,                    368.6 ,       4.1851869102447745,                       412
Degree       ,               5.0, CSG-f2   ,                    20.0,                336.5 ,   9.19668132363087  ,                    325.9 ,       7.4826114214364114,                       412
Degree       ,              10.0, CGG      ,                     1.0,               2271.3 ,  73.92179366700573  ,                   1524.05,       4.23612285493529  ,                      2405
Degree       ,              10.0, CGG      ,                     5.0,               2076.05,  75.18641744637816  ,                   1463.55,       7.315988259321239 ,                      2405
Degree       ,              10.0, CGG      ,                    10.0,               1882.4 ,  57.69465906139432  ,                   1385.45,      12.725750934310497 ,                      2405
Degree       ,              10.0, CGG      ,                    20.0,               1639.6 ,  79.18160339238831  ,                   1229.75,      16.58114020585785  ,                      2405
Degree       ,              10.0, CSG-f1   ,                     1.0,                645.3 ,   2.6377821625073787,                    443.75,       1.9701723141310314,                       650
Degree       ,              10.0, CSG-f1   ,                     5.0,                624.7 ,   9.984725176093006 ,                    425.45,       5.020746432239149 ,                       650
Degree       ,              10.0, CSG-f1   ,                    10.0,                595.25,  13.21432635636912  ,                    402.7 ,       6.4896679016482945,                       650
Degree       ,              10.0, CSG-f1   ,                    20.0,                551.05,  48.59551094710831  ,                    355.4 ,      11.208079792345293 ,                       650
Degree       ,              10.0, CSG-f2   ,                     1.0,                611.45,   2.799906013460189 ,                    607.1 ,       2.403944127558086 ,                       617
Degree       ,              10.0, CSG-f2   ,                     5.0,                590.5 ,   6.5010120669582765,                    583.6 ,       4.694902050432772 ,                       617
Degree       ,              10.0, CSG-f2   ,                    10.0,                561.5 ,   7.359204762529876 ,                    553.7 ,       5.676359099949463 ,                       617
Degree       ,              10.0, CSG-f2   ,                    20.0,                500.85,   9.60961689361782  ,                    489.8 ,       8.924242559632614 ,                       617
Degree       ,              20.0, CGG      ,                     1.0,               3264.05, 147.17067606944272  ,                   1962.65,       3.923948065539682 ,                      3467
Degree       ,              20.0, CGG      ,                     5.0,               2931.65, 117.55772378305323  ,                   1884.05,       5.276312508202156 ,                      3467
Degree       ,              20.0, CGG      ,                    10.0,               2695.35, 114.64190241562498  ,                   1783.15,      10.158092444217242 ,                      3467
Degree       ,              20.0, CGG      ,                    20.0,               2352.1 , 129.6728271661537   ,                   1582.4 ,      16.19096564201938  ,                      3467
Degree       ,              20.0, CSG-f1   ,                     1.0,               1835.45,   3.501503436495459 ,                    840.9 ,       2.4687520819444835,                      1853
Degree       ,              20.0, CSG-f1   ,                     5.0,               1765.1 ,  13.50204662848913  ,                    805.9 ,       6.812527160737744 ,                      1853
Degree       ,              20.0, CSG-f1   ,                    10.0,               1672.05,  14.15134362227803  ,                    763.55,       7.789838184928401 ,                      1853
Degree       ,              20.0, CSG-f1   ,                    20.0,               1491.45,  24.241059122250004 ,                    677.3 ,      13.841584941191192 ,                      1853
Degree       ,              20.0, CSG-f2   ,                     1.0,               1070.9 ,   3.740250484153489 ,                   1064.55,       3.06894461543893  ,                      1081
Degree       ,              20.0, CSG-f2   ,                     5.0,               1031.5 ,   8.684529499724144 ,                   1022.05,       6.5492064605689215,                      1081
