cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,               1.0,    220, CSG-f1   ,                 146,                  144,                  2,       220,                       293,                     1.0,          0,            40,            3999,                        291,                     7.276819204801201 , -2             ,   99.31740614334471 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  139,                  1,       219,                       224,                     1.0,          0,            40,            3999,                        223,                     5.576394098524632 , -1             ,   99.55357142857143 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  119,                  1,       220,                       588,                     1.0,          0,            40,            3999,                        571,                    14.278569642410602 , -17            ,   97.10884353741497 ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  249,                  3,       440,                       409,                     1.0,          0,            40,            3999,                        406,                    10.152538134533634 , -3             ,   99.26650366748166 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  240,                  4,       438,                       366,                     1.0,          0,            40,            3999,                        362,                     9.052263065766441 , -4             ,   98.90710382513662 ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  283,                  2,       440,                       882,                     1.0,          0,            40,            3999,                        863,                    21.580395098774694 , -19            ,   97.84580498866214 ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  478,                  9,      1099,                      1354,                     1.0,          0,            40,            3999,                       1318,                    32.958239559889975 , -36            ,   97.34121122599704 ,               15
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  525,                  8,      1099,                      1553,                     1.0,          0,            40,            3999,                       1540,                    38.50962740685171  , -13            ,   99.16291049581454 ,               32
Random       ,               5.0,   1100, CGG      ,                 619,                  615,                  4,      1099,                      2519,                     1.0,          0,            40,            3999,                       2107,                    52.68817204301075  , -412           ,   83.64430329495832 ,               49
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  860,                  9,      2196,                      2883,                     1.0,          0,            40,            3999,                       2855,                    71.39284821205301  , -28            ,   99.02878945542838 ,               13
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  969,                 10,      2201,                      3095,                     1.0,          0,            40,            3999,                       3067,                    76.69417354338584  , -28            ,   99.09531502423263 ,               18
Random       ,              10.0,   2201, CGG      ,                 926,                  919,                  7,      2011,                      4039,                     1.0,          0,            40,            3999,                       3603,                    90.09752438109527  , -436           ,   89.20524882396633 ,               48
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1484,                 11,      4399,                      4012,                     1.0,          0,            40,            3999,                       3972,                    99.32483120780195  , -40            ,   99.00299102691925 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1607,                 13,      4399,                      3963,                     1.0,          0,            40,            3999,                       3924,                    98.1245311327832   , -39            ,   99.01589704769115 ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  919,                  7,      2011,                      4039,                     1.0,          0,            40,            3999,                       3603,                    90.09752438109527  , -436           ,   89.20524882396633 ,               48
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  117,                  0,       888,                       158,                     1.0,          0,            40,            3999,                        158,                     3.9509877469367343, 0              ,  100.0              ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  208,                  1,       888,                       211,                     1.0,          0,            40,            3999,                        210,                     5.251312828207052 , -1             ,   99.52606635071089 ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  440,                  2,       891,                       555,                     1.0,          0,            40,            3999,                        550,                    13.753438359589898 , -5             ,   99.09909909909909 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  176,                  1,      1766,                       368,                     1.0,          0,            40,            3999,                        366,                     9.152288072018004 , -2             ,   99.45652173913044 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  260,                  1,      1781,                       264,                     1.0,          0,            40,            3999,                        263,                     6.57664416104026  , -1             ,   99.62121212121212 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  665,                  3,      1783,                       899,                     1.0,          0,            40,            3999,                        892,                    22.305576394098527 , -7             ,   99.22135706340379 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  285,                  2,      4462,                       480,                     1.0,          0,            40,            3999,                        479,                    11.977994498624655 , -1             ,   99.79166666666667 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  407,                  1,      4426,                       412,                     1.0,          0,            40,            3999,                        411,                    10.277569392348088 , -1             ,   99.75728155339806 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1094,                  6,      4456,                      1411,                     1.0,          0,            40,            3999,                       1399,                    34.98374593648413  , -12            ,   99.14953933380582 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  445,                  3,      8910,                       650,                     1.0,          0,            40,            3999,                        647,                    16.179044761190298 , -3             ,   99.53846153846155 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  608,                  5,      8915,                       617,                     1.0,          0,            40,            3999,                        612,                    15.303825956489122 , -5             ,   99.18962722852513 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1528,                 11,      8919,                      2405,                     1.0,          0,            40,            3999,                       2265,                    56.63915978994749  , -140           ,   94.17879417879418 ,               30
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  841,                  8,     17836,                      1853,                     1.0,          0,            40,            3999,                       1841,                    46.036509127281825 , -12            ,   99.35240151106314 ,                8
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1065,                 10,     17802,                      1081,                     1.0,          0,            40,            3999,                       1071,                    26.78169542385596  , -10            ,   99.07493061979649 ,                2
