Budget (%),Edges removed (%),CSG-f1,CSG-f2,CGG
1.00,1.00,100.38,100.17,99.87
1.00,5.00,104.21,101.28,98.14
1.00,10.00,109.08,102.75,97.01
1.00,20.00,119.78,106.16,95.13
2.00,1.00,100.22,100.19,99.17
2.00,5.00,101.78,101.31,96.19
2.00,10.00,103.33,102.46,94.99
2.00,20.00,106.37,105.21,93.52
5.00,1.00,100.21,100.07,99.68
5.00,5.00,101.78,100.45,98.31
5.00,10.00,103.33,101.09,97.47
5.00,20.00,106.24,102.40,96.31
10.00,1.00,100.29,100.06,96.19
10.00,5.00,101.60,100.33,92.41
10.00,10.00,102.83,100.75,91.06
10.00,20.00,105.18,101.60,90.52
20.00,1.00,100.09,100.03,94.99
20.00,5.00,100.44,100.16,92.14
20.00,10.00,100.68,100.35,91.56
20.00,20.00,101.09,100.85,93.12
