Budget (%),Edges removed (%),CSG-f1,CSG-f2,CGG
1.00,1.00,100.92,100.60,97.55
1.00,5.00,103.60,102.81,93.56
1.00,10.00,107.32,107.10,91.64
1.00,20.00,115.44,115.27,91.12
2.00,1.00,100.60,100.64,97.73
2.00,5.00,102.63,102.66,93.89
2.00,10.00,105.49,105.72,91.57
2.00,20.00,111.44,111.87,91.34
5.00,1.00,100.88,98.88,80.57
5.00,5.00,101.97,95.62,68.05
5.00,10.00,103.48,94.36,66.00
5.00,20.00,104.86,97.91,69.80
10.00,1.00,100.43,99.79,86.50
10.00,5.00,100.65,99.85,73.87
10.00,10.00,102.75,100.35,74.71
10.00,20.00,102.29,101.58,75.24
20.00,1.00,100.00,99.98,86.50
20.00,5.00,100.03,99.89,73.87
20.00,10.00,100.01,100.00,74.71
20.00,20.00,100.11,100.44,75.24
