Budget (%),Nodes removed (%),CSG-f1,CSG-f2,CGG
1.00,1.00,99.37,99.05,97.93
1.00,5.00,98.51,96.59,92.81
1.00,10.00,110.51,93.82,85.95
1.00,20.00,101.71,84.62,74.77
2.00,1.00,99.16,99.09,97.35
2.00,5.00,96.11,96.48,90.90
2.00,10.00,91.32,93.41,83.63
2.00,20.00,83.52,84.22,72.72
5.00,1.00,99.17,99.10,98.36
5.00,5.00,95.95,95.84,92.67
5.00,10.00,91.55,91.32,86.10
5.00,20.00,83.24,81.67,75.25
10.00,1.00,99.28,99.10,94.44
10.00,5.00,96.11,95.71,86.32
10.00,10.00,91.58,91.00,78.27
10.00,20.00,84.78,81.18,68.17
20.00,1.00,99.05,99.07,94.15
20.00,5.00,95.26,95.42,84.56
20.00,10.00,90.23,90.63,77.74
20.00,20.00,80.49,80.67,67.84
