Budget (%),Nodes removed (%),CSG-f1,CSG-f2,CGG
1.00,1.00,99.44,99.80,96.62
1.00,5.00,98.52,99.62,88.66
1.00,10.00,94.39,94.24,78.44
1.00,20.00,89.22,90.13,68.13
2.00,1.00,99.51,99.39,96.34
2.00,5.00,97.98,97.92,87.23
2.00,10.00,93.30,92.94,77.92
2.00,20.00,87.04,86.71,67.72
5.00,1.00,99.51,95.29,79.10
5.00,5.00,94.42,82.43,64.36
5.00,10.00,89.71,74.30,58.57
5.00,20.00,80.65,67.55,50.83
10.00,1.00,100.02,98.02,82.20
10.00,5.00,97.07,92.73,66.92
10.00,10.00,91.04,88.51,60.14
10.00,20.00,81.80,80.28,50.40
20.00,1.00,98.95,98.95,82.20
20.00,5.00,94.84,94.82,66.92
20.00,10.00,89.52,89.63,60.14
20.00,20.00,79.33,79.52,50.40
